Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length
720	-38.74098	-55.66343	16.92246	0.0195053	0.32596	0.0118659	0.154289	0.163273	0.545145	0.0825878	0.0209399	0.025738	0.010617	0.244332	0.132206	0.0633759	0.461821	0.158386	0.333529	0.104408	0.0593811	0.270839	0.140729	0.31433	0.578121	1.14063	0.681821	0.829622	0.943392	1.06	1.20537	1.46666	0.2769273	0.1689485	0.00535379	0.0894694	0.00325694	0.0423492	0.0448152	0.149631	0.0226687	0.00574758	0.00706456	0.00291415	0.067064	0.0362879	0.0173954	0.126761	0.0434737	0.091547	0.0286579	0.0162989	0.0743397	0.0386273	0.0862772	3.643259
756	-26.81211	-47.10482	20.29271	0.0373259	0.0390697	0.000209625	0.00207865	0.00125271	0.0363225	0.052601	0.0219242	0.0162018	0.00327322	0.0276143	0.0275158	0.0287519	0.0427746	0.000514098	0.00417922	0.00399398	0.0610191	0.0383323	0.0553864	0.0234457	0.68043	1.10652	0.22024	0.478111	0.794363	1.25887	2.09157	4.54051	1.094032	0.2049754	0.0712617	0.0745908	0.000400212	0.0039685	0.00239165	0.069346	0.100424	0.0418572	0.0309321	0.00624916	0.0527204	0.0525325	0.0548923	0.0816641	0.000981504	0.00797887	0.0076252	0.116496	0.073183	0.105742	0.044762	0.5237867
792	-29.08667	-45.99982	16.91315	0.11421	0.0562204	0.00103286	0.00204843	0.0167643	0.0192494	0.0127755	0.0313898	0.00977785	0.00028898	0.00687711	0.00146032	0.0070932	0.0047085	0.042614	0.00279086	0.00145111	0.132216	0.0908553	0.00692023	0.0338314	2.69923	0.433589	0.0366225	0.199313	0.6046	1.65399	5.01723	27.3057	2.391256	2.075108	0.192086	0.0945555	0.00173714	0.0034452	0.0281954	0.032375	0.0214867	0.0527936	0.0164451	0.000486026	0.0115664	0.00245607	0.0119298	0.00791909	0.0716713	0.00469387	0.00244059	0.222371	0.152807	0.0116389	0.0569	0.594576
828	-32.316	-48.16493	15.84893	0.108624	0.101372	0.0025068	0.00284576	0.0412476	0.00367314	0.0125737	0.103652	0.065404	0.0119567	0.412744	0.015795	0.345064	0.264251	0.0969932	0.0328628	0.00873863	0.0647754	0.170913	0.0486257	0.0232328	2.29969	0.566771	0.0345352	0.19369	0.599226	1.66882	5.16289	28.956	2.433688	1.352508	0.0560536	0.0523115	0.0012936	0.00146852	0.0212852	0.00189547	0.00648848	0.0534883	0.0337508	0.00617006	0.212991	0.00815078	0.178065	0.136363	0.050052	0.0169584	0.00450944	0.0334264	0.088197	0.0250926	0.011989	1.937851
864	-31.80012	-49.46205	17.66193	0.0234979	0.168476	0.00428424	0.00411909	0.131649	0.0111946	0.00573706	0.114839	0.135702	0.00655706	0.114686	0.0357089	0.184457	0.152551	0.13426	0.00327079	0.00893602	0.013628	0.460303	0.0378403	0.120739	1.58677	0.804412	0.138807	0.381726	0.740481	1.35047	2.61968	7.20426	1.427824	0.6575263	0.0125494	0.0899771	0.00228806	0.00219986	0.0703087	0.00597865	0.00306396	0.0613316	0.0724734	0.00350189	0.0612496	0.0190708	0.0985115	0.081472	0.0717035	0.00174681	0.00477241	0.00727821	0.245831	0.0202091	0.0644822	1.872436
900	-35.85465	-56.71856	20.86392	0.0896549	0.0500322	0.00491559	0.00139544	0.0132886	0.0170497	0.0295258	0.0840226	0.0121511	0.0102028	0.117927	0.0504968	0.00610903	0.0188104	0.0259318	0.00455224	0.0162511	0.0100327	0.0678208	0.10325	0.130283	0.18607	1.27131	0.267944	0.526085	0.818417	1.22187	1.90083	3.73212	0.952264	0.04878704	0.103803	0.0579275	0.0056913	0.00161565	0.0153856	0.0197402	0.0341851	0.0972818	0.0140686	0.0118129	0.136536	0.0584655	0.00707307	0.0217788	0.030024	0.00527061	0.0188156	0.0116159	0.0785233	0.119543	0.150842	0.8637035
936	-30.46765	-50.79244	20.32479	0.102295	0.16525	0.03288	0.030454	0.0314276	0.0234902	0.00534346	0.0163907	0.00613178	0.0393095	0.0733506	0.0499191	0.0427067	0.0213556	0.269222	0.00561237	0.000802165	0.0150266	0.0710523	0.0323671	0.0351045	0.539906	1.15336	0.313035	0.567544	0.838016	1.19329	1.76198	3.19453	0.8398009	0.1560378	0.095648	0.154512	0.0307436	0.0284752	0.0293856	0.0219639	0.00499627	0.0153257	0.00573337	0.0367553	0.0685846	0.0466756	0.0399319	0.019968	0.251729	0.00524771	0.000750044	0.0140503	0.0664357	0.030264	0.0328236	1.06949
972	-32.84331	-50.83331	17.99	0.135884	0.139646	0.0471409	0.0373531	0.252546	0.0904264	0.00642372	0.0183912	0.0240332	0.0223979	0.0792849	0.170057	0.0139006	0.0670297	0.131955	0.00593741	0.0165777	0.0021408	0.414352	0.0648276	0.0266328	1.02989	0.990038	0.0859511	0.302156	0.688402	1.45264	3.30954	11.6345	1.774394	0.3467495	0.0769038	0.0790329	0.0266794	0.02114	0.142929	0.0511769	0.00363551	0.0104085	0.0136016	0.0126761	0.0448714	0.0962437	0.00786704	0.0379355	0.0746802	0.00336028	0.00938217	0.00121159	0.234503	0.0366892	0.0150729	1.766939
1008	-27.79369	-47.23099	19.4373	0.10043	0.326983	0.0189493	0.0778524	0.175024	0.0640204	0.0097725	0.0530912	0.0187418	0.0487085	0.119989	0.133164	0.198833	0.184804	0.0199749	0.0937039	0.00450429	0.000283664	0.584801	0.151822	0.0157742	0.0298116	1.3234	0.618897	0.791356	0.929595	1.07574	1.26365	1.61578	0.3469407	0.00750886	0.0418243	0.136173	0.00789151	0.0324219	0.0728894	0.0266616	0.00406979	0.0221101	0.0078051	0.0202848	0.0499697	0.0554567	0.0828046	0.0769625	0.00831861	0.0390234	0.00187583	0.000118133	0.243543	0.0632267	0.00656925	2.401226
1044	-30.29806	-49.61536	19.3173	0.0914501	0.262467	0.0346793	0.278183	0.1224	0.047244	0.000369737	0.0183363	0.167775	0.0342306	0.216363	0.0126319	0.0469767	0.032894	0.0123746	0.0403559	0.00843233	0.00267377	0.163237	0.175379	0.148468	0.237096	1.2543	0.212807	0.470172	0.790224	1.26546	2.12688	4.6991	1.118855	0.06300886	0.0477067	0.136921	0.0180911	0.14512	0.0638526	0.0246457	0.000192881	0.00956549	0.0875229	0.0178571	0.11287	0.00658968	0.0245063	0.0171598	0.00645545	0.0210524	0.00439889	0.00139482	0.0851559	0.0914901	0.0774512	1.916923
